ID X Y
30.128.2.0.1. 977162.2771 997488.2587
30.128.2.0.2. 977162.3934 997488.0866
30.128.2.0.3. 977162.2045 997488.0701
30.129.4.0.1. 977180.1225 997489.419
30.130.3.0.1. 977174.8947 997489.5449
30.131.14.0.1. 977179.0503 997486.49
30.17.132.16.0.1. 977177.9702 997487.4
30.173.16A.0.1. 977177.985 997495.5181
30.25.38.5A.0.1. 977180.4823 997478.8711
30.29.13.0.1. 977180.239 997484.2448
30.39.6.0.1. 977181.6243 997480.8179
30.43A.15.0.1. 977177.0987 997493.9824
30.51.7.0.1. 977183.1898 997483.1096
30.64.111.11.0.1. 977168.7129 997484.8808
30.67.0.1.0. 977163.5397 997482.8081
30.68A.68B.0.2.0. 977170.2242 997494.5961
30.91.5.0.1. 977175.2443 997492.03
30.91.5.0.2. 977175.2584 997491.8692
31.12.0.2.0. 977179.937 997468.2061
31.15.1.0.1. 977181.9802 997457.692
31.16.3.0.1. 977176.66 997467.6386
31.18.9.0.1. 977172.9249 997474.1596
31.18.9.0.2. 977172.9927 997473.7551
31.19.0.3.0. 977173.991 997472.8379
31.2.5.0.1. 977183.7307 997473.4848
31.20.4.0.1. 977170.7622 997470.9785
31.20.4.0.2. 977170.3986 997471.1843
31.23.0.4.0. 977168.0995 997467.7105
31.27.6.0.1. 977171.6337 997470.0287
31.29.7.0.1. 977168.5699 997461.0984
31.39.8.0.1. 977175.8844 997460.7014
31.41.10.0.1. 977172.5299 997472.8721
31.43.2.0.1. 977172.4775 997459.1504
31.7.0.1.0. 977182.2783 997466.8772
31.8.11.0.1. 977178.8928 997472.2407
32.11.3.0.1. 977172.5843 997449.8757
32.13.2.0.1. 977181.5731 997455.4433
32.13.2.0.2. 977181.3954 997455.4997
32.8.1.0.1. 977179.8519 997438.9042
33.10.2.0.1. 977194.365 997423.4686
33.150.3.0.1. 977180.8566 997426.1031
33.158.0.1.0. 977187.4818 997418.3588
33.65.4.0.1. 977185.327 997417.9687
33.69.0.2.0. 977181.0211 997417.1455
34.180.12.0.1. 977188.7436 997416.0354
34.232.1.0.1. 977200.1242 997405.1286
34.257A.11.0.1. 977201.2399 997402.2524
34.259.10.0.1. 977201.7205 997400.7103
34.290.8.0.1. 977186.7826 997409.2322
34.298.0.2.0. 977193.1695 997400.1782
34.299.5.0.1. 977193.5831 997401.8705
34.299.5.0.2. 977193.4552 997401.6865
34.301.7.0.1. 977187.3821 997398.3469
34.311.0.4.0. 977187.655 997405.269
34.35A.6.0.1. 977188.7087 997398.4918
34.36.0.3.0. 977188.9834 997396.7517
34.37.0.5.0. 977190.2645 997398.4047
34.40A.3.0.1. 977193.3894 997397.9941
34.40B.4.0.1. 977192.6709 997398.3056
34.40B.4.0.2. 977192.416 997398.5857
34.40B.4.0.3. 977192.1968 997398.2929
34.40B.4.0.4. 977192.0785 997398.657
34.40B.4.0.5. 977192.6277 997398.9643
34.40B.4.0.6. 977192.9566 997398.6618
