ID X Y
24.37.5.15 977185.3427 997481.4502
24.38.5.15 977188.0759 997484.387
24.4.3.8 977199.2649 997482.4545
24.40.6.21 977191.35 997497.538
24.41.5.15 977196.8572 997502.1455
24.42.5.16 977198.6755 997502.8075
24.43.6.22 977184.2957 997490.7365
24.44.6.22 977181.6963 997495.9059
24.46.3.8 977185.0775 997489.7604
24.6.5.16 977192.6793 997489.827
24.7.5.16 977195.6532 997482.6127
24.8.5.15 977193.8645 997486.6781
24.9.5.19 977187.9905 997478.8141
25.10.6.20 977202.463 997424.0381
25.13.5.15 977216.6958 997426.8429
25.18.6.20 977216.299 997432.5826
25.23.3.9 977209.9268 997424.4804
25.24.5.15 977197.6682 997435.4836
25.4.5.14 977212.8147 997433.6265
25.5.3.12 977206.8973 997421.7707
26.12.3.8 977206.6071 997416.5026
26.16.3.8 977205.9696 997415.3906
26.17.5.19 977213.8349 997412.3591
26.18.3.8 977205.5293 997418.0615
26.19.3.13 977207.8219 997418.1013
26.21.3.8 977210.0117 997419.5787
26.23.5.19 977208.5214 997411.6714
26.28.3.12 977212.2422 997415.8598
26.31.3.9 977210.5537 997421.4317
26.32.6.22 977206.3789 997420.5412
26.33.3.13 977203.9466 997419.1776
26.39.6.21 977213.2164 997402.9674
26.6.3.7 977213.7979 997418.5553
26.7.3.8 977211.2168 997417.0896
26.8.6.24 977206.9486 997413.3868
27.13.3.8 977165.4971 997540.2907
27.14.5.15 977165.552 997545.4327
27.15.3.8 977157.7156 997535.1104
27.16.3.12 977163.6895 997541.3932
27.17.3.8 977159.5764 997536.1541
27.18.3.10 977165.4926 997537.2388
27.18A.3.10 977164.5106 997537.2285
27.24.3.8 977162.5139 997535.6361
27.26.5.15 977159.5308 997542.2935
27.27.3.8.3 977161.2482 997541.4608
27.39A.3.9 977150.3958 997546.9292
27.48.6.24 977156.9407 997541.9366
27.64.3.8 977151.2251 997533.8753
27.75.3.12 977149.9156 997536.7568
27.76.6.22 977152.4357 997536.1243
27A.3.3.13 977162.4988 997560.9293
28.10.3.12 977162.8081 997530.8921
28.11.3.9 977163.5301 997531.8598
28.20.5.16 977158.2237 997528.8043
28.31.5.15 977171.0333 997529.925
28.38.3.8 977156.6976 997522.2169
28.40.5.16 977153.8952 997521.5562
28.59.5.16 977156.9869 997519.7487
28.66.3.9 977154.8762 997517.6083
28.70.3.8 977156.9751 997516.2518
28.71.3.12 977156.6603 997515.0998
28.73.5.16 977156.0431 997513.2123
28.75.3.8 977159.4669 997517.6677
28.76.3.9 977160.1552 997518.2149
28.78A.3.9 977160.3263 997517.4015
28.82.5.16 977162.9464 997517.3307
28.85.3.7 977163.8051 997522.5698
28.9.6.21 977156.7499 997529.1642
29.10.5.16 977161.373 997496.0485
29.24.5.15 977168.9698 997500.494
29.26.3.8 977162.1418 997499.0828
29.29.5.15 977164.37 997496.8702
29.30.5.16 977161.931 997497.8097
29.32.3.12 977159.9439 997498.0428
29.33.5.16 977160.627 997498.3738
29.35.5.16 977159.3104 997500.6323
29.40.6.21 977167.3998 997504.6802
29.42.6.22 977163.3777 997502.7854
29.43.3.8 977161.5822 997503.1539
29.44.5.16 977158.6241 997502.0813
29.58.6.21 977162.3318 997506.407
29.6.3.9 977161.2843 997495.1251
29.63.3.9 977158.9725 997507.4016
29.68.3.9 977164.9165 997509.2272
29.7.5.16 977160.0572 997495.3908
29.70.3.9 977165.4352 997510.6629
29.75.6.22 977164.6682 997511.2909
29.7S.3.9 977166.4218 997509.8506
29.8.3.8 977159.7283 997496.2437
29.89.6.24 977166.5624 997513.8642
29.90.6.21 977167.3725 997513.3247
30.112.5.19 977163.413 997489.1865
30.113.5.19 977162.1453 997487.3448
30.116.6.24 977162.4738 997490.0301
30.117.5.19 977161.4919 997489.5216
30.120.5.19 977161.0053 997491.6325
30.121.6.24 977161.0483 997492.5218
30.122.3.8 977164.0657 997490.0084
30.195.3.8 977166.2814 997486.0765
30.196.3.8 977163.5561 997486.4016
30.197.3.8 977162.8702 997485.9592
30.198.3.8 977162.5814 997485.3502
30.208.3.8 977180.4387 997495.4056
30.24.5.15 977181.4775 997478.165
30.26.5.15 977181.8515 997479.3799
30.28.5.14 977168.2091 997490.4705
30.30.5.19 977180.9629 997483.6247
30.31.32.3.9 977176.6707 997489.4005
30.37.3.9 977178.6067 997483.5294
30.43.3.9 977176.4551 997494.6093
30.52.6.21 977176.1136 997483.3113
30.53.6.21 977174.6589 997483.2579
30.60.5.15 977168.5055 997480.115
30.65.6.21 977170.3427 997483.3975
30.66.3.8 977173.07 997494.0565
30.73.3.9 977178.0324 997491.8542
30.85.5.15 977169.4251 997489.2496
30.86.5.15 977167.9589 997489.9062
30.87.6.24 977164.6532 997479.1517
30.88.89.5.19 977165.5919 997492.5771
30.90.5.19 977164.5744 997480.5133
31.10.3.8 977184.5193 997461.1796
31.11.5.19 977183.6251 997468.7279
31.13.5.19 977181.4324 997464.0653
31.14.6.21 977176.9468 997472.5851
31.17.5.19 977174.0753 997473.678
31.21.3.8 977166.6836 997472.33
31.22.5.15 977167.8511 997470.0069
31.25.5.18 977173.1143 997465.5826
31.26.3.11 977168.8396 997463.7062
31.30.3.12 977172.2206 997467.2117
31.31.5.16 977177.4698 997465.3661
31.32.5.19 977176.7804 997465.0497
31.33.3.13 977169.5712 997457.7799
31.35.5.19 977176.516 997459.2688
31.36.6.21 977177.5426 997466.6689
31.37.5.19 977173.0927 997463.9544
31.38.3.9 977176.1593 997468.873
31.4.3.12 977180.8841 997473.3387
31.40.5.19 977172.4501 997467.8974
