ID_original Tipo_de_rasgo ID_resumido Grupo X Y Forma Total_ceramica Total_liticos Total_macrorestos Total_oro Total_fauna Total_volantes
116.31.3.9 Deposito 116.31 1 976995.8194 997298.2071 Oval 0 0 13 0 0 0
116.39.5.19 Indefinido 116.39 1 976993.3279 997294.6318 Irregular 0 1 0 0 0 0
116.41.5.16 Indefinido 116.41 1 976992.041 997293.3146 Oval 0 0 0 0 0 0
116.49.5.15 Indefinido 116.49 1 976990.5693 997286.886 Circular 0 0 0 0 0 0
116.51.3.12 Deposito 116.51 1 976997.0721 997289.9828 Irregular 0 2 0 0 0 0
117.1.3.12 Deposito 117.1 1 976993.5929 997285.0572 Irregular 0 2 0 0 0 0
117.16.5.19 Indefinido 117.16 1 976991.9904 997280.6316 Irregular 0 0 0 0 0 0
117.4.3.13 Deposito 117.4 1 976991.5242 997284.3233 NA 0 0 0 0 0 0
117.5.3.12 Deposito 117.5 1 976992.9008 997285.2929 Irregular 0 0 0 0 0 0
117.9.3.12 Deposito 117.9 1 976996.4032 997284.4243 Irregular 0 0 0 0 0 0
11A.1.3.9 Deposito 11A.1 3 977153.6198 997425.9157 Oval 12 3 0 0 8 0
11A.10.3.9 Deposito 11A.10 3 977149.5743 997422.6248 Oval 0 1 0 0 0 0
11A.15.3.8 Deposito 11A.15 3 977145.4278 997421.9484 Circular 0 3 0 0 0 0
11A.18.3.8 Deposito 11A.18 3 977138.9361 997422.0372 Circular 0 1 0 0 0 0
11A.2.3.8.2 Deposito 11A.2 3 977154.9214 997426.5516 Circular 0 67 131 0 41 0
11A.22.6.24 Negativo 11A.22 3 977156.5434 997424.6094 Irregular 0 0 11 0 0 0
11A.25.6.21 Negativo 11A.25 3 977148.793 997426.6373 Circular 0 0 0 0 0 0
11A.26.5.15 Indefinido 11A.26 3 977150.9747 997426.3999 Circular 0 1 0 0 1 0
11A.3B.3.12 Deposito 11A.3B 3 977153.6765 997424.3129 Irregular 0 0 0 0 4 0
11.A.3C.3.12 Deposito 11A.3C 3 977154.1878 997425.1511 Irregular 0 0 0 0 0 0
11A.4.5.15 Indefinido 11A.4 3 977151.1456 997422.6925 Circular 0 0 0 0 0 0
11A.7.3.9 Deposito 11A.7 3 977152.5874 997423.1064 Oval 0 0 0 0 0 0
11A.9.3.9 Deposito 11A.9 3 977150.2023 997423.92 Oval 0 17 251 0 132 0
12.26.5.15 Indefinido 12.26 3 977131.4645 997461.321 Circular 0 1 0 0 0 0
12.3.3.8 Deposito 12.3 3 977139.0711 997462.6228 Circular 0 5 0 0 0 0
12.4.5.19 Indefinido 12.4 3 977136.1612 997452.9722 Irregular 0 0 0 0 0 0
12A.1.6.22 Negativo 12A.1 3 977141.8167 997466.1506 Oval 0 0 0 0 0 0
12A.10.6.24 Negativo 12A.10 3 977146.6502 997450.8937 Irregular 0 0 0 0 0 0
12A.13.6.22 Negativo 12A.13 3 977141.5716 997455.4639 Oval 0 0 0 0 0 0
12A.14.3.8 Deposito 12A.14 3 977142.4419 997448.269 Circular 0 1 0 0 0 0
12A.17.6.24 Negativo 12A.17 3 977142.6955 997449.399 Irregular 0 0 0 0 0 0
12A.19.5.19 Indefinido 12A.19 3 977138.5364 997450.3191 Irregular 0 0 0 0 0 0
12A.2.3.9 Deposito 12A.2 3 977142.4102 997460.094 Oval 0 0 0 0 0 0
12A.7.6.22 Negativo 12A.7 3 977145.102 997448.0647 Oval 0 0 0 0 0 0
12A.8.3.8 Deposito 12A.8 3 977143.8019 997462.9249 Circular 0 4 0 0 0 0
12A.9.6.21 Negativo 12A.9 3 977144.6998 997461.9318 Circular 0 1 0 0 0 0
14.1.3.12 Deposito 14.1 4 977211.5367 997498.1644 Irregular 0 0 0 0 0 0
14.1.6.22 Negativo 14.1 4 977216.2754 997501.1742 Oval 0 0 0 0 0 0
14.10.5.14 Indefinido 14.1 4 977201.346 997494.8216 Rectangular 0 0 0 0 0 0
14.11.5.19 Indefinido 14.11 4 977201.6411 997493.9502 Irregular 0 0 0 0 0 0
14.12.5.15 Indefinido 14.12 4 977197.6044 997496.8141 Circular 0 0 0 0 0 0
14.13.5.14 Indefinido 14.13 4 977203.2393 997487.9402 Rectangular 0 0 0 0 0 0
14.14.5.19 Indefinido 14.14 4 977194.8067 997497.7731 Irregular 0 0 0 0 0 0
14.18.6.21 Negativo 14.18 4 977203.6762 997492.2023 Circular 0 0 0 0 0 0
14.19.6.21 Negativo 14.19 4 977204.2591 997491.7937 Circular 0 0 0 0 0 0
14.21.3.8 Deposito 14.21 4 977208.2327 997499.4073 Circular 0 0 0 0 0 0
14.23.3.12 Deposito 14.23 4 977203.3053 997489.9375 Irregular 0 0 1 0 0 0
14.24.5.19 Indefinido 14.24 4 977200.5005 997489.9766 Irregular 0 0 0 0 0 0
14.26.5.15 Indefinido 14.26 4 977208.7204 997487.8288 Circular 0 0 0 0 0 0
14.27.5.16 Indefinido 14.27 4 977207.4129 997488.7649 Oval 0 0 0 0 1 0
14.28.5.14 Indefinido 14.28 4 977217.1776 997493.9744 Rectangular 0 0 0 0 1 0
14.29.6.21 Negativo 14.29 4 977214.7087 997492.9268 Circular 0 0 1 0 0 0
14.30.5.15 Indefinido 14.3 4 977215.6054 997488.4312 Circular 0 0 0 0 0 0
14.31.3.8 Deposito 14.31 4 977209.4336 997490.9333 Circular 0 0 0 0 0 0
14.32.5.15 Indefinido 14.32 4 977204.3407 997487.3581 Circular 0 0 0 0 0 0
14.33.3.12 Deposito 14.33 4 977207.1197 997489.6147 Irregular 0 0 1 0 0 0
