Corte Cuadricula Nivel Tipos_Ceramicos Diametro Forma
4 J5 1 Funza_Cuarzo_Abundante 44 Cuenco
4 J5 1 Funza_Cuarzo_Abundante 30 Cuenco
4 J5 1 Funza_Cuarzo_Abundante 16 Olla
4 J2 1 Funza_Cuarzo_Abundante 40 Cuenco
4 J 1 Desgrasante_Gris 12 Olla
4 I13 1 Funza_Cuarzo_Abundante 20 Cuenco
4 I12 1 Funza_Cuarzo_Abundante 10 Cuenco
4 I12 1 Desgrasante_Gris 12 Olla
4 I11 1 Desgrasante_Gris 20 Olla
4 I11 1 Funza_Cuarzo_Abundante 26 Olla
4 I11 1 Funza_Cuarzo_Abundante 14 Olla
4 I11 1 Funza_Cuarzo_Abundante 14 Olla
4 I8 1 Desgrasante_Gris 20 Olla
4 I7 1 Desgrasante_Gris 8 Olla
4 I6 1 Funza_Cuarzo_Abundante 20 Olla
4 I4 1 Desgrasante_Gris 40 Olla
4 I3 1 Desgrasante_Gris 44 Olla
4 I3 1 Desgrasante_Gris 26 Cuenco
4 H11 1 Desgrasante_Gris 14 Cuenco
4 E13 1 Desgrasante_Gris 6 Olla
4 E13 1 Desgrasante_Gris 18 Cuenco
4 E13 1 Funza_Cuarzo_Abundante 34 Cuenco
4 E13 1 Funza_Cuarzo_Abundante 56 Cuenco
4 E11 1 Mosquera_Roca_Triturada 14 Cuenco
4 E11 1 Mosquera_Rojo_Inciso 12 Olla
4 E12 1 Desgrasante_Gris 14 Cuenco
4 A11 1 Funza_Cuarzo_Abundante 12 Cuenco
4 A4 1 Desgrasante_Gris 52 Olla
4 A1 1 Desgrasante_Gris 10 Cuenco
4 A 1 Desgrasante_Gris 6 Cuenco
4 A 1 Funza_Cuarzo_Abundante 28 Cuenco
4 I 2 Zipaquira_Desgrasante_Tiesto 32 Olla
4 G14 2 Mosquera_Roca_Triturada 20 Cuenco
4 G9 2 Desgrasante_Gris NA Cuenco
4 G1 2 Funza_Cuarzo_Abundante 26 Cuenco
4 I 2 Funza_Cuarzo_Abundante 12 Olla
4 G8 2 Desgrasante_Gris NA Olla
4 H5 2 Funza_Cuarzo_Abundante 8 Cuenco
4 H4 2 Funza_Cuarzo_Abundante 34 Olla
4 H4 2 Funza_Cuarzo_Abundante 24 Cuenco
4 H3 2 Funza_Cuarzo_Abundante 32 Cuenco
4 H2 2 Funza_Cuarzo_Abundante 32 Cuenco
4 H2 2 Funza_Cuarzo_Abundante 20 Cuenco
4 H 2 Funza_Cuarzo_Abundante 12 Cuenco
4 G13 2 Mosquera_Roca_Triturada 12 Cuenco
4 G9 2 Desgrasante_Gris 22 Cuenco
4 G9 2 Funza_Cuarzo_Abundante NA Cuenco
4 G9 2 Funza_Cuarzo_Abundante NA Olla
4 G9 2 Funza_Cuarzo_Abundante 28 Cuenco
4 G8 2 Funza_Cuarzo_Abundante 16 Olla
4 G4 2 Funza_Cuarzo_Abundante 20 Cuenco
4 G3 2 Funza_Cuarzo_Abundante NA Cuenco
4 G2 2 Funza_Cuarzo_Abundante 24 Cuenco
4 G 2 Desgrasante_Gris NA Cuenco
4 I15 2 Funza_Cuarzo_Abundante 36 Olla
4 I 3 Guatavita_Desgrasante_Tiesto NA Olla
4 H4 3 Desgrasante_Gris 24 Olla
4 I 3 Mosquera_Roca_Triturada 14 Olla
4 H4 15 Funza_Cuarzo_Abundante 26 Olla
4 A 15 Funza_Cuarzo_Abundante 26 Olla
4 A 5 Desgrasante_Gris 28 Olla
4 A 5 Funza_Cuarzo_Abundante 50 Olla
4 A 8 Desgrasante_Gris 22 Cuenco
4 L12 1 Zipaquira_Desgrasante_Tiesto 46 Cuenco
4 K5 1 Funza_Cuarzo_Abundante 16 Cuenco
4 K8 1 Desgrasante_Gris 32 Cuenco
4 K4 1 Funza_Cuarzo_Abundante 24 Cuenco
4 L3 1 Funza_Cuarzo_Abundante 20 Cuenco
4 L3 1 Funza_Cuarzo_Abundante 20 Cuenco
4 L2 1 Funza_Cuarzo_Abundante 20 Olla
4 L2 1 Funza_Cuarzo_Abundante 10 Cuenco
4 L2 1 Funza_Cuarzo_Abundante 12 Cuenco
4 L2 1 Funza_Cuarzo_Abundante 30 Cuenco
4 L1 1 Mosquera_Rojo_Inciso 48 Cuenco
4 L 1 Funza_Cuarzo_Abundante 24 Olla
4 K8 1 Desgrasante_Gris 18 Olla
4 K8 1 Desgrasante_Gris 28 Cuenco
4 K15 1 Desgrasante_Gris 34 Olla
4 K15 1 Funza_Cuarzo_Abundante 8 Cuenco
4 K15 1 Funza_Cuarzo_Abundante 42 Olla
4 K15 1 Funza_Cuarzo_Abundante 38 Olla
4 K14 1 Desgrasante_Gris 26 Olla
4 K14 1 Desgrasante_Gris 20 Olla
4 K13 1 Desgrasante_Gris 42 Cuenco
4 K12 1 Funza_Cuarzo_Abundante 58 Olla
4 K9 1 Desgrasante_Gris 40 Olla
4 K9 1 Funza_Cuarzo_Abundante 24 Cuenco
4 K5 1 Desgrasante_Gris 10 Cuenco
4 K5 1 Desgrasante_Gris 16 Cuenco
4 K5 1 Desgrasante_Gris 16 Cuenco
4 K4 1 Desgrasante_Gris 30 Cuenco
4 K4 1 Desgrasante_Gris 34 Cuenco
4 K4 1 Funza_Cuarzo_Abundante 26 Cuenco
4 K 1 Desgrasante_Gris 10 Cuenco
4 K 1 Desgrasante_Gris 30 Cuenco
4 L13 1 Desgrasante_Gris 24 Cuenco
4 L13 1 Funza_Cuarzo_Abundante 18 Cuenco
4 L12 1 Desgrasante_Gris 20 Cuenco
4 L12 1 Funza_Cuarzo_Abundante 22 Cuenco
4 L12 1 Funza_Cuarzo_Abundante 10 Olla
4 L11 1 Funza_Cuarzo_Abundante 44 Cuenco
4 L11 1 Funza_Cuarzo_Abundante 18 Cuenco
4 L11 1 Funza_Cuarzo_Abundante 38 Cuenco
4 L11 1 Funza_Cuarzo_Abundante 40 Cuenco
4 L11 1 Funza_Cuarzo_Abundante 44 Olla
4 L10 1 Mosquera_Rojo_Inciso 34 Olla
4 L9 1 Funza_Cuarzo_Abundante 18 Olla
4 L9 1 Funza_Cuarzo_Fino 30 Olla
